station_number,staion,lat,log
466850,五分山雷達站,25.0712,121.7812
466880,板橋,24.9976,121.442
466900,淡水,25.1649,121.4489
466910,鞍部,25.1826,121.5297
466920,臺北,25.0377,121.5149
466930,竹子湖,25.1621,121.5445
466940,基隆,25.1333,121.7405
466950,彭佳嶼,25.628,122.0797
466990,花蓮,23.9751,121.6133
467050,新屋,25.0067,121.0475
467060,蘇澳,24.5967,121.8574
467080,宜蘭,24.764,121.7565
467110,金門,24.4073,118.2893
467300,東吉島,23.257,119.6675
467350,澎湖,23.5655,119.5631
467410,臺南,22.9932,120.2048
467420,永康,23.0384,120.2367
467440,高雄,22.566,120.3157
467480,嘉義,23.4959,120.4329
467490,臺中,24.1457,120.6841
467530,阿里山,23.5082,120.8132
467540,大武,22.3557,120.9038
467550,玉山,23.4876,120.9595
467571,新竹,24.8279,121.0142
467590,恆春,22.0039,120.7463
467610,成功,23.0975,121.3734
467620,蘭嶼,22.037,121.5583
467650,日月潭,23.8813,120.9081
467660,臺東,22.7522,121.1546
467770,梧棲,24.256,120.5234
467790,墾丁雷達站,21.9482,120.808
467990,馬祖,26.1693,119.9234
